BEA_Summary,BEA_Detail,DnB_Share_RoUS,X_Share_US,alpha_RoUS,RoUS_Share_Used,DetailedOutput_CA_RoUS,D_cal_RoUS,RoUS_Direct_Emissions,RoUS_Output_Weight,RoUS_Emissions_Weight
325,325180,0.04801138779860207,0.04025544735870344,0.2,0.04180663544668317,35262544980.49236,1.025313621782672,36155167707.223,0.04180663544668318,0.10470350083238247
325,325190,0.059985607156031795,0.14868896677472154,0.2,0.13094829485098358,110450651863.39769,0.932381041594237,102982093829.15718,0.13094829485098358,0.2982308320148527
325,325211,0.13770859495504048,0.11335668204649213,0.2,0.11822706462820182,99720705572.69157,0.6065999975049174,60490579751.58331,0.11822706462820182,0.17517759891640314
325,3252A0,0.009768237984719366,0.01935660282612279,0.2,0.017438929857842105,14709173363.354124,0.3624863445213105,5331874483.412467,0.017438929857842105,0.01544083349115836
325,325310,0.022372022010597386,0.021918487350934737,0.2,0.022009194282867267,18564043604.364628,2.2229415817822056,41266784454.16014,0.022009194282867267,0.11950647927938415
325,325320,0.04617954615079327,0.01904994333188096,0.2,0.024475863895663426,20644599651.123447,0.27800848630428965,5739373899.366896,0.024475863895663426,0.016620930781346178
325,325411,0.009313899316388312,0.01917260712957769,0.2,0.017200865566939814,14508373832.932762,0.10887483953824176,1579596873.02138,0.017200865566939814,0.004574431070227941
325,325412,0.3903575509210347,0.23820798413548216,0.2,0.2686378974925927,226587378835.5527,0.023352338766242764,5291345230.722813,0.2686378974925927,0.015323462865827827
325,325413,0.0015113166173560519,0.022516473364706302,0.2,0.01831544201523625,15448483021.876564,0.020333122446673832,314115896.89917797,0.01831544201523625,0.0009096634356332179
325,325414,0.017953024871651988,0.04595292521213809,0.2,0.04035294514404087,34036404222.286556,0.06791379532594564,2311541389.9835215,0.04035294514404087,0.006694104638377176
325,325510,0.03629377037053115,0.035615944760403105,0.2,0.035751509882428714,30155242388.673958,0.04550722945851634,1372281534.7585642,0.035751509882428714,0.00397405654373861
325,325520,0.02107186103146509,0.019221161549499315,0.2,0.01959130144589247,16524629190.579306,0.26093148346019335,4311796008.327473,0.01959130144589247,0.01248673884194948
325,325610,0.04395781516144969,0.05063459349089668,0.2,0.04929923782500729,41582312777.246735,0.25503054397705177,10604759847.405146,0.04929923782500729,0.03071083753507736
325,325620,0.09031582040831129,0.05526770734973365,0.2,0.062277329961449183,52528913785.258835,0.05865179290859047,3080914973.046204,0.062277329961449183,0.008922170851399427
325,325910,0.002956692883646928,0.00547387197221665,0.2,0.004970436154502706,4192402153.345794,0.1109586559871045,465183308.2926921,0.004970436154502706,0.0013471468671214014
325,3259A0,0.02953468246837071,0.05486393901564858,0.2,0.04979808770619301,42003076519.31487,0.158118309613176,6641455457.786952,0.04979808770619301,0.01923331244605747
326,326110,0.07146271091309928,0.16500178755441525,0.2,0.14629397222615206,41588700045.82464,0.048051609258184774,1998403964.1578166,0.14629397222615206,0.18843344794766048
326,326120,0.020874277744064036,0.07911505541418687,0.2,0.0674668998801623,19179605416.689655,0.020086461690977088,385250409.45039344,0.0674668998801623,0.03632602030319669
326,326130,0.007165545378542874,0.018771424365418184,0.2,0.01645024856804312,4676504731.97898,0.05624932442656073,263050231.85143209,0.01645024856804312,0.02480352474284946
326,326140,0.0077021529918718055,0.04150911652751782,0.2,0.03474772382038862,9878142217.693945,0.046009472911623495,454488116.78215396,0.03474772382038862,0.04285458017122762
326,326150,0.056430372579332186,0.045984311581249604,0.2,0.04807352378086612,13666423368.268167,0.11179615699060393,1527853612.378966,0.04807352378086612,0.14406432798545088
326,326160,0.009422291750920358,0.0468128956278522,0.2,0.03933477485246584,11182156911.97707,0.018193586176971206,203443535.42246905,0.03933477485246584,0.019183091872254927
326,326190,0.6369138055332315,0.41909949317574813,0.2,0.46266235564724484,131526443904.07918,0.024864473195609502,3270335738.9668136,0.46266235564724484,0.30836640153467565
326,326210,0.07405719857136046,0.08430527223402241,0.2,0.08225565750149003,23383778667.33473,0.06142388997693992,1436322648.1074831,0.08225565750149003,0.13543369298822788
326,326220,0.016572990329672223,0.02255683371537928,0.2,0.02136006503823787,6072275735.744757,0.037630243847130686,228501216.6430901,0.02136006503823787,0.021545830014622867
326,326290,0.09939865420790522,0.07684380980421021,0.2,0.08135477868494922,23127675300.199173,0.036220994901246695,837707409.1262034,0.08135477868494922,0.07898908243983356
327,327100,0.07244689976051573,0.06403135973353653,0.2,0.06571446773893237,9580993387.045952,0.3258118184323831,3121600877.8220787,0.06571446773893237,0.03502401367775037
327,327200,0.2721660550785123,0.20716120568434448,0.2,0.22016217556317808,32099055515.879444,0.3736712509482247,11994494228.875183,0.22016217556317808,0.1345768874280046
327,327310,0.07393610270995148,0.06567318947029388,0.2,0.06732577211822541,9815917249.837563,5.280120944753619,51829230262.835655,0.06732577211822541,0.5815181827150594
327,327320,0.19813179930947997,0.24903964743866705,0.2,0.23885807781282964,34824867988.87079,0.0510179218874839,1776692394.7981484,0.23885807781282964,0.01993429050416616
327,327330,0.04874393250462031,0.050629629920579435,0.2,0.05025249043738761,7326678509.76073,0.0139495118652517,102203588.80479194,0.05025249043738761,0.0011467128669926752
327,327390,0.15486616280962248,0.09856477371815518,0.2,0.10982505153644864,16012198359.164406,0.008597129416070794,137658941.52953282,0.10982505153644864,0.0015445179700099376
327,327400,0.02869446089473573,0.06374855652529125,0.2,0.05673773739918015,8272210146.738174,2.152525095575483,17806139936.72807,0.05673773739918015,0.199782904061397
327,327910,0.014733627644440313,0.038029175864317304,0.2,0.03337006622034191,4865266276.7131405,0.012191845762924496,59316576.04124454,0.03337006622034191,0.0006655253672389182
327,327991,0.020723036092441763,0.039490325773584606,0.2,0.03573686783735604,5210339613.244596,0.015564141212572912,81094461.50600141,0.03573686783735604,0.000909870813131505
327,327992,0.008076976984035145,0.03422704384235292,0.2,0.02899703047068937,4227689377.1301265,0.08844500189129201,373917994.9560692,0.02899703047068937,0.004195318198025186
327,327993,0.03299118743986018,0.04944342757488393,0.2,0.04615297954787918,6728980802.179157,0.20728554027442625,1394820421.0759487,0.04615297954787918,0.015649729551541335
327,327999,0.07448975877178454,0.03996166445399342,0.2,0.04686728331755165,6833124378.609881,0.06589606834791754,450276031.08269835,0.04686728331755165,0.0050520468466828915
331,331110,0.48809335183400326,0.39536375708850763,0.2,0.4139096760376068,129750515368.04407,0.6695466258872526,86874019771.80602,0.4139096760376068,0.771286516109701
